case,seed,feature,weight,abs_weight,rank
true_positive,2,tcc_roll6_mean,-0.020196112,0.020196112,24.0
true_positive,2,wind_speed_10m_roll6_mean,-0.004685831,0.004685831,28.0
true_positive,2,wind_speed_10m_roll6_max,-0.023855131,0.023855131,22.0
true_positive,2,tp_mm_roll6_sum,-0.55001616,0.55001616,2.0
true_positive,2,tp_mm_roll24_sum,-0.025210395,0.025210395,21.0
true_positive,3,t2m_c,-0.06222245,0.06222245,13.0
true_positive,3,d2m_c,-0.23729464,0.23729464,4.0
true_positive,3,msl_hpa,-0.30774134,0.30774134,3.0
true_positive,3,sp_hpa,-0.14714912,0.14714912,6.0
true_positive,3,tcc,0.014789049,0.014789049,26.0
true_positive,3,u10,-0.020354722,0.020354722,24.0
true_positive,3,v10,-0.0212217,0.0212217,23.0
true_positive,3,wind_speed_10m,-0.0031910923,0.0031910923,31.0
true_positive,3,month,0.0026965933,0.0026965933,32.0
true_positive,3,dayofyear,0.041385334,0.041385334,18.0
true_positive,3,hour,-0.090927996,0.090927996,7.0
true_positive,3,month_sin,0.0016149253,0.0016149253,33.0
true_positive,3,month_cos,-0.046943333,0.046943333,16.0
true_positive,3,hour_sin,-0.07404877,0.07404877,11.0
true_positive,3,hour_cos,0.030006522,0.030006522,20.0
true_positive,3,msl_hpa_lag1,-0.21491866,0.21491866,5.0
true_positive,3,msl_hpa_lag3,-0.05112066,0.05112066,14.0
true_positive,3,msl_hpa_lag6,-0.037078865,0.037078865,19.0
true_positive,3,d2m_c_lag1,-0.08172123,0.08172123,9.0
true_positive,3,d2m_c_lag3,-0.0035333107,0.0035333107,30.0
true_positive,3,tcc_lag1,0.005108744,0.005108744,27.0
true_positive,3,tcc_lag3,-0.018068956,0.018068956,25.0
true_positive,3,wind_speed_10m_lag1,-0.0002152849,0.0002152849,34.0
true_positive,3,wind_speed_10m_lag3,-0.0039837873,0.0039837873,29.0
true_positive,3,tp_mm_lag1,-3.1888394,3.1888394,1.0
true_positive,3,tp_mm_lag3,0.07470069,0.07470069,10.0
true_positive,3,tp_mm_lag6,0.044343933,0.044343933,17.0
true_positive,3,msl_hpa_roll6_mean,-0.08203206,0.08203206,8.0
true_positive,3,d2m_c_roll6_mean,-0.049668867,0.049668867,15.0
true_positive,3,tcc_roll6_mean,-0.06751288,0.06751288,12.0
true_positive,3,wind_speed_10m_roll6_mean,-0.004685831,0.004685831,28.0
true_positive,3,wind_speed_10m_roll6_max,-0.023855131,0.023855131,21.0
true_positive,3,tp_mm_roll6_sum,-0.54913837,0.54913837,2.0
true_positive,3,tp_mm_roll24_sum,-0.023432638,0.023432638,22.0
true_positive,4,t2m_c,-0.06833055,0.06833055,14.0
true_positive,4,d2m_c,-0.22719413,0.22719413,4.0
true_positive,4,msl_hpa,-0.33113515,0.33113515,3.0
true_positive,4,sp_hpa,-0.15371749,0.15371749,6.0
true_positive,4,tcc,0.013448997,0.013448997,26.0
true_positive,4,u10,-0.022077858,0.022077858,22.0
true_positive,4,v10,-0.018555468,0.018555468,24.0
true_positive,4,wind_speed_10m,-0.003882262,0.003882262,30.0
true_positive,4,month,0.0027118474,0.0027118474,31.0
true_positive,4,dayofyear,0.045315128,0.045315128,17.0
true_positive,4,hour,-0.10984205,0.10984205,7.0
true_positive,4,month_sin,0.0016149253,0.0016149253,33.0
true_positive,4,month_cos,-0.07902658,0.07902658,11.0
true_positive,4,hour_sin,-0.079594806,0.079594806,9.0
true_positive,4,hour_cos,0.029649496,0.029649496,20.0
true_positive,4,msl_hpa_lag1,-0.21342409,0.21342409,5.0
true_positive,4,msl_hpa_lag3,-0.048095606,0.048095606,15.0
true_positive,4,msl_hpa_lag6,-0.03249017,0.03249017,19.0
true_positive,4,d2m_c_lag1,-0.07840231,0.07840231,12.0
true_positive,4,d2m_c_lag3,-0.008329878,0.008329878,27.0
true_positive,4,tcc_lag1,0.0021605906,0.0021605906,32.0
true_positive,4,tcc_lag3,-0.01565159,0.01565159,25.0
true_positive,4,wind_speed_10m_lag1,-0.0009854579,0.0009854579,34.0
true_positive,4,wind_speed_10m_lag3,-0.0043131094,0.0043131094,29.0
true_positive,4,tp_mm_lag1,-2.7793236,2.7793236,1.0
true_positive,4,tp_mm_lag3,0.104531586,0.104531586,8.0
true_positive,4,tp_mm_lag6,0.04726153,0.04726153,16.0
true_positive,4,msl_hpa_roll6_mean,-0.07925755,0.07925755,10.0
true_positive,4,d2m_c_roll6_mean,-0.04090174,0.04090174,18.0
true_positive,4,tcc_roll6_mean,-0.07622449,0.07622449,13.0
true_positive,4,wind_speed_10m_roll6_mean,-0.004685831,0.004685831,28.0
true_positive,4,wind_speed_10m_roll6_max,-0.02480803,0.02480803,21.0
true_positive,4,tp_mm_roll6_sum,-0.5658186,0.5658186,2.0
true_positive,4,tp_mm_roll24_sum,-0.020955369,0.020955369,23.0
true_positive,5,t2m_c,-0.068712905,0.068712905,11.0
true_positive,5,d2m_c,-0.23426433,0.23426433,4.0
true_positive,5,msl_hpa,-0.31242102,0.31242102,3.0
true_positive,5,sp_hpa,-0.1480241,0.1480241,6.0
true_positive,5,tcc,0.030508101,0.030508101,20.0
true_positive,5,u10,-0.021883331,0.021883331,24.0
true_positive,5,v10,-0.021241507,0.021241507,25.0
true_positive,5,wind_speed_10m,-0.00305748,0.00305748,31.0
true_positive,5,month,0.0027118474,0.0027118474,32.0
true_positive,5,dayofyear,0.045663718,0.045663718,18.0
true_positive,5,hour,-0.09598089,0.09598089,7.0
true_positive,5,month_sin,0.0016149253,0.0016149253,33.0
true_positive,5,month_cos,-0.052956995,0.052956995,15.0
true_positive,5,hour_sin,-0.074872434,0.074872434,10.0
true_positive,5,hour_cos,0.030458739,0.030458739,21.0
true_positive,5,msl_hpa_lag1,-0.22502998,0.22502998,5.0
true_positive,5,msl_hpa_lag3,-0.05259853,0.05259853,16.0
true_positive,5,msl_hpa_lag6,-0.034842096,0.034842096,19.0
true_positive,5,d2m_c_lag1,-0.083765775,0.083765775,8.0
true_positive,5,d2m_c_lag3,-0.005187125,0.005187125,27.0
true_positive,5,tcc_lag1,-0.0040655667,0.0040655667,29.0
true_positive,5,tcc_lag3,-0.018068956,0.018068956,26.0
true_positive,5,wind_speed_10m_lag1,8.301167e-05,8.301167e-05,34.0
true_positive,5,wind_speed_10m_lag3,-0.0039837873,0.0039837873,30.0
true_positive,5,tp_mm_lag1,-3.1141527,3.1141527,1.0
true_positive,5,tp_mm_lag3,0.067478836,0.067478836,13.0
true_positive,5,tp_mm_lag6,0.051034305,0.051034305,17.0
true_positive,5,msl_hpa_roll6_mean,-0.077106774,0.077106774,9.0
true_positive,5,d2m_c_roll6_mean,-0.055129565,0.055129565,14.0
true_positive,5,tcc_roll6_mean,-0.068379894,0.068379894,12.0
true_positive,5,wind_speed_10m_roll6_mean,-0.004685831,0.004685831,28.0
true_positive,5,wind_speed_10m_roll6_max,-0.023855131,0.023855131,22.0
true_positive,5,tp_mm_roll6_sum,-0.56420225,0.56420225,2.0
true_positive,5,tp_mm_roll24_sum,-0.02233459,0.02233459,23.0
true_positive,6,t2m_c,-0.06222245,0.06222245,13.0
true_positive,6,d2m_c,-0.23714556,0.23714556,4.0
true_positive,6,msl_hpa,-0.29145914,0.29145914,3.0
true_positive,6,sp_hpa,-0.14714912,0.14714912,6.0
true_positive,6,tcc,0.030508101,0.030508101,20.0
true_positive,6,u10,-0.019173034,0.019173034,24.0
true_positive,6,v10,-0.018575275,0.018575275,25.0
true_positive,6,wind_speed_10m,-0.00305748,0.00305748,31.0
true_positive,6,month,0.0027118474,0.0027118474,32.0
true_positive,6,dayofyear,0.041972533,0.041972533,18.0
true_positive,6,hour,-0.090927996,0.090927996,7.0
true_positive,6,month_sin,0.0016149253,0.0016149253,33.0
true_positive,6,month_cos,-0.046943333,0.046943333,16.0
true_positive,6,hour_sin,-0.07178146,0.07178146,11.0
true_positive,6,hour_cos,0.030006522,0.030006522,21.0
true_positive,6,msl_hpa_lag1,-0.22502998,0.22502998,5.0
true_positive,6,msl_hpa_lag3,-0.05259853,0.05259853,14.0
true_positive,6,msl_hpa_lag6,-0.036991782,0.036991782,19.0
true_positive,6,d2m_c_lag1,-0.08168333,0.08168333,8.0
true_positive,6,d2m_c_lag3,-0.0060798293,0.0060798293,27.0
true_positive,6,tcc_lag1,-0.0040655667,0.0040655667,29.0
true_positive,6,tcc_lag3,-0.018068956,0.018068956,26.0
true_positive,6,wind_speed_10m_lag1,-0.0002152849,0.0002152849,34.0
true_positive,6,wind_speed_10m_lag3,-0.0039837873,0.0039837873,30.0
true_positive,6,tp_mm_lag1,-3.199222,3.199222,1.0
true_positive,6,tp_mm_lag3,0.07491944,0.07491944,10.0
true_positive,6,tp_mm_lag6,0.044852354,0.044852354,17.0
true_positive,6,msl_hpa_roll6_mean,-0.079296455,0.079296455,9.0
true_positive,6,d2m_c_roll6_mean,-0.049668867,0.049668867,15.0
true_positive,6,tcc_roll6_mean,-0.06751288,0.06751288,12.0
true_positive,6,wind_speed_10m_roll6_mean,-0.004685831,0.004685831,28.0
true_positive,6,wind_speed_10m_roll6_max,-0.023855131,0.023855131,22.0
true_positive,6,tp_mm_roll6_sum,-0.5590532,0.5590532,2.0
true_positive,6,tp_mm_roll24_sum,-0.022394054,0.022394054,23.0
true_positive,7,t2m_c,-0.055420622,0.055420622,15.0
true_positive,7,d2m_c,-0.23347075,0.23347075,4.0
true_positive,7,msl_hpa,-0.3073707,0.3073707,3.0
true_positive,7,sp_hpa,-0.14714912,0.14714912,6.0
true_positive,7,tcc,0.0147761,0.0147761,26.0
true_positive,7,u10,-0.020354722,0.020354722,24.0
true_positive,7,v10,-0.021167597,0.021167597,23.0
true_positive,7,wind_speed_10m,-0.0030392653,0.0030392653,31.0
true_positive,7,month,0.0027118474,0.0027118474,32.0
true_positive,7,dayofyear,0.041972533,0.041972533,18.0
true_positive,7,hour,-0.091082714,0.091082714,7.0
true_positive,7,month_sin,0.0016149253,0.0016149253,33.0
true_positive,7,month_cos,-0.06293218,0.06293218,13.0
true_positive,7,hour_sin,-0.07051781,0.07051781,11.0
true_positive,7,hour_cos,0.029329564,0.029329564,20.0
true_positive,7,msl_hpa_lag1,-0.21135806,0.21135806,5.0
true_positive,7,msl_hpa_lag3,-0.048107445,0.048107445,17.0
true_positive,7,msl_hpa_lag6,-0.03398449,0.03398449,19.0
true_positive,7,d2m_c_lag1,-0.08168333,0.08168333,8.0
true_positive,7,d2m_c_lag3,-0.0035333107,0.0035333107,30.0
true_positive,7,tcc_lag1,-0.009740471,0.009740471,27.0
true_positive,7,tcc_lag3,-0.01565159,0.01565159,25.0
true_positive,7,wind_speed_10m_lag1,-0.0002152849,0.0002152849,34.0
true_positive,7,wind_speed_10m_lag3,-0.0039837873,0.0039837873,29.0
true_positive,7,tp_mm_lag1,-3.1746404,3.1746404,1.0
true_positive,7,tp_mm_lag3,0.0755338,0.0755338,10.0
true_positive,7,tp_mm_lag6,0.050553933,0.050553933,16.0
true_positive,7,msl_hpa_roll6_mean,-0.07706787,0.07706787,9.0
true_positive,7,d2m_c_roll6_mean,-0.057858028,0.057858028,14.0
true_positive,7,tcc_roll6_mean,-0.06751288,0.06751288,12.0
true_positive,7,wind_speed_10m_roll6_mean,-0.004685831,0.004685831,28.0
true_positive,7,wind_speed_10m_roll6_max,-0.023855131,0.023855131,21.0
true_positive,7,tp_mm_roll6_sum,-0.56314754,0.56314754,2.0
true_positive,7,tp_mm_roll24_sum,-0.023217157,0.023217157,22.0
true_positive,8,t2m_c,-0.055420622,0.055420622,14.0
true_positive,8,d2m_c,-0.22951335,0.22951335,4.0
true_positive,8,msl_hpa,-0.30774134,0.30774134,3.0
true_positive,8,sp_hpa,-0.14714912,0.14714912,6.0
true_positive,8,tcc,0.012253863,0.012253863,25.0
true_positive,8,u10,-0.020354722,0.020354722,23.0
true_positive,8,v10,-0.0212217,0.0212217,22.0
true_positive,8,wind_speed_10m,-0.0031910923,0.0031910923,31.0
true_positive,8,month,0.0026965933,0.0026965933,32.0
true_positive,8,dayofyear,0.041385334,0.041385334,18.0
true_positive,8,hour,-0.091082714,0.091082714,7.0
true_positive,8,month_sin,0.0016149253,0.0016149253,33.0
true_positive,8,month_cos,-0.06293218,0.06293218,13.0
true_positive,8,hour_sin,-0.071118444,0.071118444,11.0
true_positive,8,hour_cos,0.029329564,0.029329564,20.0
true_positive,8,msl_hpa_lag1,-0.20425595,0.20425595,5.0
true_positive,8,msl_hpa_lag3,-0.048095606,0.048095606,16.0
true_positive,8,msl_hpa_lag6,-0.03358607,0.03358607,19.0
true_positive,8,d2m_c_lag1,-0.08172123,0.08172123,9.0
true_positive,8,d2m_c_lag3,-0.0035333107,0.0035333107,30.0
true_positive,8,tcc_lag1,0.005098649,0.005098649,27.0
true_positive,8,tcc_lag3,-0.01565159,0.01565159,24.0
true_positive,8,wind_speed_10m_lag1,-0.0002152849,0.0002152849,34.0
true_positive,8,wind_speed_10m_lag3,-0.0039837873,0.0039837873,29.0
true_positive,8,tp_mm_lag1,-3.1920738,3.1920738,1.0
true_positive,8,tp_mm_lag3,0.07470069,0.07470069,10.0
true_positive,8,tp_mm_lag6,0.0460238,0.0460238,17.0
true_positive,8,msl_hpa_roll6_mean,-0.08203206,0.08203206,8.0
true_positive,8,d2m_c_roll6_mean,-0.049668867,0.049668867,15.0
true_positive,8,tcc_roll6_mean,-0.06751288,0.06751288,12.0
true_positive,8,wind_speed_10m_roll6_mean,-0.004685831,0.004685831,28.0
true_positive,8,wind_speed_10m_roll6_max,-0.023855131,0.023855131,21.0
true_positive,8,tp_mm_roll6_sum,-0.55064195,0.55064195,2.0
true_positive,8,tp_mm_roll24_sum,-0.011668095,0.011668095,26.0
true_positive,9,t2m_c,-0.056013145,0.056013145,13.0
true_positive,9,d2m_c,-0.23622848,0.23622848,4.0
true_positive,9,msl_hpa,-0.30168483,0.30168483,3.0
true_positive,9,sp_hpa,-0.13774917,0.13774917,6.0
true_positive,9,tcc,0.02870217,0.02870217,21.0
true_positive,9,u10,-0.020173904,0.020173904,23.0
true_positive,9,v10,-0.019253476,0.019253476,24.0
true_positive,9,wind_speed_10m,-0.00305748,0.00305748,31.0
true_positive,9,month,0.0027118474,0.0027118474,32.0
true_positive,9,dayofyear,0.041972533,0.041972533,18.0
true_positive,9,hour,-0.09527578,0.09527578,7.0
true_positive,9,month_sin,0.0016149253,0.0016149253,33.0
true_positive,9,month_cos,-0.046943333,0.046943333,16.0
true_positive,9,hour_sin,-0.075716816,0.075716816,10.0
true_positive,9,hour_cos,0.02940895,0.02940895,20.0
true_positive,9,msl_hpa_lag1,-0.21529393,0.21529393,5.0
true_positive,9,msl_hpa_lag3,-0.05259853,0.05259853,14.0
true_positive,9,msl_hpa_lag6,-0.03709392,0.03709392,19.0
true_positive,9,d2m_c_lag1,-0.0819811,0.0819811,8.0
true_positive,9,d2m_c_lag3,-0.0067216386,0.0067216386,27.0
true_positive,9,tcc_lag1,-0.003529711,0.003529711,30.0
true_positive,9,tcc_lag3,-0.018068956,0.018068956,26.0
true_positive,9,wind_speed_10m_lag1,-0.00040171252,0.00040171252,34.0
true_positive,9,wind_speed_10m_lag3,-0.0039837873,0.0039837873,29.0
true_positive,9,tp_mm_lag1,-3.1794713,3.1794713,1.0
true_positive,9,tp_mm_lag3,0.07381459,0.07381459,11.0
true_positive,9,tp_mm_lag6,0.046698164,0.046698164,17.0
true_positive,9,msl_hpa_roll6_mean,-0.079913154,0.079913154,9.0
true_positive,9,d2m_c_roll6_mean,-0.049808357,0.049808357,15.0
true_positive,9,tcc_roll6_mean,-0.061333094,0.061333094,12.0
true_positive,9,wind_speed_10m_roll6_mean,-0.0047004875,0.0047004875,28.0
true_positive,9,wind_speed_10m_roll6_max,-0.023401026,0.023401026,22.0
true_positive,9,tp_mm_roll6_sum,-0.68088675,0.68088675,2.0
true_positive,9,tp_mm_roll24_sum,-0.018132942,0.018132942,25.0
false_positive,0,t2m_c,-0.046360046,0.046360046,15.0
false_positive,0,d2m_c,-0.20707133,0.20707133,5.0
false_positive,0,msl_hpa,-0.30898666,0.30898666,3.0
false_positive,0,sp_hpa,-0.13508528,0.13508528,6.0
false_positive,0,tcc,0.019604446,0.019604446,25.0
false_positive,0,u10,-0.026485201,0.026485201,21.0
false_positive,0,v10,-0.019798355,0.019798355,24.0
false_positive,0,wind_speed_10m,-0.0038640471,0.0038640471,29.0
false_positive,0,month,0.0027118474,0.0027118474,31.0
false_positive,0,dayofyear,0.044397015,0.044397015,16.0
false_positive,0,hour,-0.10819508,0.10819508,7.0
false_positive,0,month_sin,0.0016149253,0.0016149253,33.0
false_positive,0,month_cos,-0.06303772,0.06303772,13.0
false_positive,0,hour_sin,-0.07628982,0.07628982,11.0
false_positive,0,hour_cos,0.030576289,0.030576289,20.0
false_positive,0,msl_hpa_lag1,-0.227096,0.227096,4.0
false_positive,0,msl_hpa_lag3,-0.051448837,0.051448837,14.0
false_positive,0,msl_hpa_lag6,-0.03580927,0.03580927,18.0
false_positive,0,d2m_c_lag1,-0.074346706,0.074346706,12.0
false_positive,0,d2m_c_lag3,-0.0025969085,0.0025969085,32.0
false_positive,0,tcc_lag1,-0.008235669,0.008235669,27.0
false_positive,0,tcc_lag3,-0.018068956,0.018068956,26.0
false_positive,0,wind_speed_10m_lag1,-0.0009854579,0.0009854579,34.0
false_positive,0,wind_speed_10m_lag3,-0.003662407,0.003662407,30.0
false_positive,0,tp_mm_lag1,-2.8090742,2.8090742,1.0
false_positive,0,tp_mm_lag3,0.10322127,0.10322127,8.0
false_positive,0,tp_mm_lag6,0.03542068,0.03542068,19.0
false_positive,0,msl_hpa_roll6_mean,-0.07676974,0.07676974,10.0
