case,feature,abs_shap,shap_rank,abs_lime_weight,lime_rank
true_negative,tp_mm_roll6_sum,0.64508426,2.0,0.0230387708262231,4.0
true_negative,u10,0.01911316,25.0,,
true_negative,v10,0.034429,20.0,0.0138463620575638,9.0
true_negative,wind_speed_10m,0.020811357,24.0,,
true_negative,wind_speed_10m_lag1,0.0035648504,31.0,,
true_negative,wind_speed_10m_lag3,0.0024593624,33.0,,
true_negative,wind_speed_10m_roll6_max,0.042424932,18.0,,
true_negative,wind_speed_10m_roll6_mean,0.0033126066,32.0,,
true_positive,d2m_c,0.05294527,7.0,0.0374563377861992,3.0
true_positive,d2m_c_lag1,0.014495541,20.0,,
true_positive,d2m_c_lag3,0.01814258,17.0,,
true_positive,d2m_c_roll6_mean,0.0015185558,30.0,,
true_positive,dayofyear,0.01788999,18.0,,
true_positive,hour,0.07645165,5.0,,
true_positive,hour_cos,0.03809982,10.0,,
true_positive,hour_sin,0.01723037,19.0,,
true_positive,month,0.002170721,29.0,,
true_positive,month_cos,0.02147705,15.0,,
true_positive,month_sin,0.00024988013,34.0,,
true_positive,msl_hpa,0.04327461,8.0,0.0258361019654945,4.0
true_positive,msl_hpa_lag1,0.02935504,12.0,0.0230898150448726,5.0
true_positive,msl_hpa_lag3,0.009691695,22.0,,
true_positive,msl_hpa_lag6,0.0055307914,27.0,,
true_positive,msl_hpa_roll6_mean,0.008549288,25.0,,
true_positive,sp_hpa,0.039308533,9.0,0.0106843324570424,10.0
true_positive,t2m_c,0.009582198,23.0,,
true_positive,tcc,0.14491405,3.0,0.0185943122447969,6.0
true_positive,tcc_lag1,0.03589194,11.0,,
true_positive,tcc_lag3,0.018661778,16.0,,
true_positive,tcc_roll6_mean,0.0689256,6.0,0.0115092642444328,8.0
true_positive,tp_mm_lag1,3.4402833,1.0,0.3017550181678154,1.0
true_positive,tp_mm_lag3,0.09092678,4.0,0.0136728881046843,7.0
true_positive,tp_mm_lag6,0.025287947,14.0,,
true_positive,tp_mm_roll24_sum,0.026572566,13.0,0.0110066317031364,9.0
true_positive,tp_mm_roll6_sum,0.39842963,2.0,0.0468823048164587,2.0
true_positive,u10,0.0065519065,26.0,,
true_positive,v10,0.009896346,21.0,,
true_positive,wind_speed_10m,0.0045020855,28.0,,
true_positive,wind_speed_10m_lag1,0.00061643764,33.0,,
true_positive,wind_speed_10m_lag3,0.0010086333,31.0,,
true_positive,wind_speed_10m_roll6_max,0.0087954,24.0,,
true_positive,wind_speed_10m_roll6_mean,0.0008079567,32.0,,
