case,mean_pairwise_rho,std_pairwise_rho,mean_top10_overlap,std_top10_overlap,method
false_negative,0.596031746031746,0.2623958839220214,5.6,0.8,LIME
false_positive,0.6405291005291005,0.2278009992526174,5.733333333333333,1.019803902718557,LIME
true_negative,0.6021164021164022,0.2662379500795111,5.644444444444445,0.9464684195131932,LIME
true_positive,0.6568783068783068,0.216046395257033,5.866666666666666,0.9333333333333332,LIME
false_negative,0.9487785417197184,0.0252696608977237,8.266666666666667,0.6463573143221772,SHAP
false_positive,0.9856922162804514,0.0082854053226281,9.133333333333333,0.6531972647421808,SHAP
true_negative,0.974141414141414,0.0119792832768675,8.933333333333334,0.6798692684790381,SHAP
true_positive,0.9840556828792124,0.0114414896600215,9.22222222222222,0.5533288710217215,SHAP
