case,feature,feature_value,shap_value,abs_shap
false_negative,tcc_roll6_mean,0.7162729899088541,0.03291468,0.03291468
false_negative,wind_speed_10m_roll6_mean,6.132172664006551,-0.00095439784,0.00095439784
false_negative,wind_speed_10m_roll6_max,7.21116304397583,-0.004118464,0.004118464
false_negative,tp_mm_roll6_sum,4.726886749267578,0.31508252,0.31508252
false_negative,tp_mm_roll24_sum,4.8084259033203125,0.037888102,0.037888102
true_negative,t2m_c,-4.0191956,-0.13712071,0.13712071
true_negative,d2m_c,-4.4168396,-0.41940692,0.41940692
true_negative,msl_hpa,1028.0068,-0.18196511,0.18196511
true_negative,sp_hpa,1027.2557,-0.12247848,0.12247848
true_negative,tcc,0.37384033,-0.47913554,0.47913554
true_negative,u10,-0.3715973,-0.01911316,0.01911316
true_negative,v10,2.9695282,-0.034429,0.034429
true_negative,wind_speed_10m,2.9926882,-0.020811357,0.020811357
true_negative,month,12.0,-0.007721989,0.007721989
true_negative,dayofyear,351.0,-0.064198695,0.064198695
true_negative,hour,22.0,0.015653927,0.015653927
true_negative,month_sin,-2.4492935982947064e-16,0.0013968954,0.0013968954
true_negative,month_cos,1.0,-0.069254294,0.069254294
true_negative,hour_sin,-0.5000000000000004,0.010896109,0.010896109
true_negative,hour_cos,0.8660254037844384,-0.10821995,0.10821995
true_negative,msl_hpa_lag1,1027.4469,-0.1706022,0.1706022
true_negative,msl_hpa_lag3,1027.0669,-0.052836858,0.052836858
true_negative,msl_hpa_lag6,1026.5769,-0.026498586,0.026498586
true_negative,d2m_c_lag1,-4.1455994,-0.10158682,0.10158682
true_negative,d2m_c_lag3,-3.905426,-0.08082626,0.08082626
true_negative,tcc_lag1,0.9173584,-0.017378617,0.017378617
true_negative,tcc_lag3,0.64004517,-0.004356639,0.004356639
true_negative,wind_speed_10m_lag1,3.3183486,-0.0035648504,0.0035648504
true_negative,wind_speed_10m_lag3,3.2700617,-0.0024593624,0.0024593624
true_negative,tp_mm_lag1,0.0,-2.6553314,2.6553314
true_negative,tp_mm_lag3,0.0,0.042061195,0.042061195
true_negative,tp_mm_lag6,0.0,0.024204867,0.024204867
true_negative,msl_hpa_roll6_mean,1026.9577026367188,-0.046490207,0.046490207
true_negative,d2m_c_roll6_mean,-3.663019816080729,-0.061576545,0.061576545
true_negative,tcc_roll6_mean,0.5403849283854166,0.029206946,0.029206946
true_negative,wind_speed_10m_roll6_mean,3.381495634714762,-0.0033126066,0.0033126066
true_negative,wind_speed_10m_roll6_max,3.528489589691162,-0.042424932,0.042424932
true_negative,tp_mm_roll6_sum,0.0,-0.64508426,0.64508426
true_negative,tp_mm_roll24_sum,0.0042915344238281,-0.10007928,0.10007928
