lime_rule,lime_weight,case,abs_lime_weight
tp_mm_lag1 > 0.04,0.3017550181678154,true_positive,0.3017550181678154
tp_mm_roll6_sum > 0.41,0.046882304816458796,true_positive,0.046882304816458796
d2m_c > 11.73,0.037456337786199265,true_positive,0.037456337786199265
msl_hpa <= 1009.59,0.02583610196549457,true_positive,0.02583610196549457
msl_hpa_lag1 <= 1009.59,0.023089815044872678,true_positive,0.023089815044872678
tcc > 1.00,0.018594312244796917,true_positive,0.018594312244796917
tp_mm_lag3 > 0.04,-0.013672888104684311,true_positive,0.013672888104684311
tcc_roll6_mean > 0.97,-0.011509264244432839,true_positive,0.011509264244432839
tp_mm_roll24_sum > 3.13,0.011006631703136404,true_positive,0.011006631703136404
sp_hpa <= 1008.90,0.010684332457042412,true_positive,0.010684332457042412
tp_mm_lag1 > 0.04,0.3049584341893355,false_positive,0.3049584341893355
tp_mm_roll6_sum > 0.41,0.04215482928721756,false_positive,0.04215482928721756
tcc > 1.00,0.024901469049589283,false_positive,0.024901469049589283
sp_hpa <= 1008.90,0.01848406565243278,false_positive,0.01848406565243278
msl_hpa_lag1 <= 1009.59,0.01845385856752746,false_positive,0.01845385856752746
msl_hpa <= 1009.59,0.01730747471361636,false_positive,0.01730747471361636
tcc_roll6_mean > 0.97,-0.01724396644952251,false_positive,0.01724396644952251
hour_cos <= -0.71,0.016089604421047572,false_positive,0.016089604421047572
tp_mm_lag3 > 0.04,-0.013915556882825794,false_positive,0.013915556882825794
10.58 < t2m_c <= 15.62,0.010356768293878752,false_positive,0.010356768293878752
tp_mm_lag1 > 0.04,0.31120517006460396,false_negative,0.31120517006460396
tp_mm_roll6_sum > 0.41,0.04807626989028695,false_negative,0.04807626989028695
10.58 < t2m_c <= 15.62,0.011784974657044867,false_negative,0.011784974657044867
hour_cos > 0.71,-0.011398859622726477,false_negative,0.011398859622726477
0.00 < tp_mm_lag3 <= 0.04,0.011282933689613327,false_negative,0.011282933689613327
month_cos <= -0.87,0.011101449910249318,false_negative,0.011101449910249318
0.83 < tcc <= 1.00,0.010775940820867474,false_negative,0.010775940820867474
7.43 < d2m_c <= 11.73,0.010655628807287574,false_negative,0.010655628807287574
d2m_c_roll6_mean > 11.72,0.009919708539829642,false_negative,0.009919708539829642
92.00 < dayofyear <= 183.00,0.009176702699375079,false_negative,0.009176702699375079
tp_mm_lag1 <= 0.00,-0.1538338635900387,true_negative,0.1538338635900387
d2m_c <= 3.21,-0.042209159436064084,true_negative,0.042209159436064084
tcc <= 0.39,-0.03307636758983583,true_negative,0.03307636758983583
tp_mm_roll6_sum <= 0.00,-0.023038770826223177,true_negative,0.023038770826223177
msl_hpa_lag1 > 1021.83,-0.016646076404699846,true_negative,0.016646076404699846
t2m_c <= 5.86,-0.01595600705571593,true_negative,0.01595600705571593
msl_hpa > 1021.83,-0.0159513441250354,true_negative,0.0159513441250354
tp_mm_lag3 <= 0.00,0.015190086924378347,true_negative,0.015190086924378347
v10 > 2.92,0.013846362057563824,true_negative,0.013846362057563824
hour > 17.00,0.013136533397692317,true_negative,0.013136533397692317
