case,feature,abs_shap,abs_lime_weight
true_positive,month,0.002170721,0.0
true_positive,month_cos,0.02147705,0.0
true_positive,month_sin,0.00024988013,0.0
true_positive,msl_hpa,0.04327461,0.02583610196549457
true_positive,msl_hpa_lag1,0.02935504,0.023089815044872678
true_positive,msl_hpa_lag3,0.009691695,0.0
true_positive,msl_hpa_lag6,0.0055307914,0.0
true_positive,msl_hpa_roll6_mean,0.008549288,0.0
true_positive,sp_hpa,0.039308533,0.010684332457042412
true_positive,t2m_c,0.009582198,0.0
true_positive,tcc,0.14491405,0.018594312244796917
true_positive,tcc_lag1,0.03589194,0.0
true_positive,tcc_lag3,0.018661778,0.0
true_positive,tcc_roll6_mean,0.0689256,0.011509264244432839
true_positive,tp_mm_lag1,3.4402833,0.3017550181678154
true_positive,tp_mm_lag3,0.09092678,0.013672888104684311
true_positive,tp_mm_lag6,0.025287947,0.0
true_positive,tp_mm_roll24_sum,0.026572566,0.011006631703136404
true_positive,tp_mm_roll6_sum,0.39842963,0.046882304816458796
true_positive,u10,0.0065519065,0.0
true_positive,v10,0.009896346,0.0
true_positive,wind_speed_10m,0.0045020855,0.0
true_positive,wind_speed_10m_lag1,0.00061643764,0.0
true_positive,wind_speed_10m_lag3,0.0010086333,0.0
true_positive,wind_speed_10m_roll6_max,0.0087954,0.0
true_positive,wind_speed_10m_roll6_mean,0.0008079567,0.0
