feature_set,number_of_features,model_variant,validation_average_precision,average_precision,roc_auc,precision,recall,f1,accuracy,true_positives,false_positives,false_negatives,true_negatives,threshold,max_depth,learning_rate,best_iteration,scale_pos_weight
selected_history,34,depth_4,0.3640060607959056,0.49112839651426793,0.9766075761936241,0.49081364829396323,0.5358166189111748,0.5123287671232877,0.9864613044305001,187,194,162,25752,0.9500000000000001,4,0.03,157,107.87888198757764
full,92,depth_3,0.3430689183980928,0.4502143440133742,0.9730078582871147,0.37271214642262895,0.6418338108882522,0.47157894736842104,0.9809089180452557,224,377,125,25569,0.9000000000000001,3,0.03,82,107.87888198757764
baseline,15,depth_4,0.07466548319486199,0.13213844650705667,0.9048524740716724,0.17234848484848486,0.2607449856733524,0.20752565564424175,0.9735691196044876,91,437,258,25509,0.8500000000000001,4,0.03,115,107.87888198757764
